,sku_id,product_name,failure_reasons,business_name
0,16012,fruit salad mango and banana,Missing ondc category,zara
1,16011,Oreo milk shake with,Missing ondc category,zara
2,16010,Cream bowl special,Missing ondc category,zara
3,16009,Butter Almond,Missing ondc category,zara
4,16008,tiffin box,Missing ondc category,zara
5,16007,Men blue pyzama,Missing ondc category,zara
6,16006,men round neck t shirt,Missing ondc category,zara
7,16005,test cloth,Missing ondc category,zara
8,16004,cotton shirts,Missing ondc category,zara
9,16003,cotton shirts,Missing ondc category,zara
10,16002,lehenga new party ware,Missing ondc category,zara
11,16001,lehenga new party ware,Missing ondc category,zara
12,13804,Bibimbap- on order Tenderlion,Missing ondc category,Test Udupi
13,13802,Red Kimchi,Missing ondc category,Test Udupi
14,1570,Orange Basil,Missing ondc category,The Bake Master
15,1571,Coconut Pulp Basil,Missing ondc category,The Bake Master
16,1572,Kiwi Basil,Missing ondc category,The Bake Master
17,1573,Cappuccino,Missing ondc category,The Bake Master
18,1574,Macchiato,Missing ondc category,The Bake Master
19,1575,Café Latte,Missing ondc category,The Bake Master
20,1576,Americano,Missing ondc category,The Bake Master
21,1577,Caramel Coffee,Missing ondc category,The Bake Master
22,1578,Hazelnut Coffee,Missing ondc category,The Bake Master
23,1579,Vanilla Coffee,Missing ondc category,The Bake Master
24,1580,Mochaccino,Missing ondc category,The Bake Master
25,1581,Expresso,Missing ondc category,The Bake Master
26,1582,Peach Ice Tea,Missing ondc category,The Bake Master
27,1583,Lemon Ice Tea,Missing ondc category,The Bake Master
28,1584,Green Apple Ice Tea,Missing ondc category,The Bake Master
29,1585,Raspberry Ice Tea,Missing ondc category,The Bake Master
30,1586,Cold Coffee With Ice Cream,Missing ondc category,The Bake Master
31,1587,Cold Coffee With Hazelnut,Missing ondc category,The Bake Master
32,1588,Cold Coffee With Caramel,Missing ondc category,The Bake Master
33,1589,Iced Americano,Missing ondc category,The Bake Master
34,1590,Mint Mojito,Missing ondc category,The Bake Master
35,1591,Green Apple,Missing ondc category,The Bake Master
36,1592,Fresh Lime Soda,Missing ondc category,The Bake Master
37,1593,Masala Tea,Missing ondc category,The Bake Master
38,1594,Darjeeling Tea,Missing ondc category,The Bake Master
39,1595,Green Tea,Missing ondc category,The Bake Master
40,1596,Assam Tea,Missing ondc category,The Bake Master
41,1597,Camomile Tea,Missing ondc category,The Bake Master
42,1598,Chocolate Shake,Missing ondc category,The Bake Master
43,1599,Oreo Shake,Missing ondc category,The Bake Master
44,1600,Kitkat Shake,Missing ondc category,The Bake Master
45,1601,Caramel Shake,Missing ondc category,The Bake Master
46,1602,Hazelnut Shake,Missing ondc category,The Bake Master
47,1603,Banana Shake,Missing ondc category,The Bake Master
48,1604,Strawberry Shake,Missing ondc category,The Bake Master
49,1605,Mango Shake,Missing ondc category,The Bake Master
50,1606,Vanilla Shake,Missing ondc category,The Bake Master
51,1607,ButterScotch Shake,Missing ondc category,The Bake Master
